"itx","ity"
0,1046
0.1,0.0916000709158431
0.2,0.178903791190468
0.3,0.265757490248336
0.4,0.352147703854633
0.5,0.438060741922111
0.6,0.523482697519074
0.7,0.608399456940769
0.8,0.692796710879237
0.9,0.77665996672362
1,0.859974562019299
1.1,0.942725679110163
1.2,1.0248983609836
1.3,1.10647752833265
1.4,1.18744799784395
1.5,1.26779450171371
1.6,1.3475017083874
1.7,1.42655424451083
1.8,1.5049367180732
1.9,1.58263374271357
2,1.65962996315398
2.1,1.73591008171294
2.2,1.81145888584374
2.3,1.88626127663221
2.4,1.96030229817888
2.5,2.03356716778028
2.6,2.1060413068146
2.7,2.17771037222698
2.8,2.24856028850042
2.9,2.31857727998894
3,2.38774790348165
3.1,2.45605908085778
3.2,2.52349813168615
3.3,2.59005280561615
3.4,2.65571131440192
3.5,2.7204623633976
3.6,2.78429518235854
3.7,2.84719955538186
3.8,2.90916584981967
3.9,2.97018504399964
4,3.0302487535906
4.1,3.08934925645509
4.2,3.14747951583714
4.3,3.20463320174071
4.4,3.26080471036374
4.5,3.31598918146278
4.6,3.37018251353545
4.7,3.42338137672077
4.8,3.4755832233317
4.9,3.52678629594959
5,3.57698963302587
5.1,3.62619307195317
5.2,3.67439724958518
5.3,3.72160360020155
5.4,3.7678143509317
5.5,3.81303251466853
5.6,3.85726188051982
5.7,3.90050700186137
5.8,3.94277318207137
5.9,3.98406645804034
6,4.02439358156426
6.1,4.06376199874118
6.2,4.10217982750227
6.3,4.13965583341846
6.4,4.17619940393136
6.5,4.21182052116443
6.6,4.24652973347496
6.7,4.28033812591124
6.8,4.31325728974123
6.9,4.34529929121958
7,4.37647663975875
7.1,4.40680225566786
7.2,4.4362894376193
7.3,4.46495182999814
7.4,4.49280339028385
7.5,4.5198583566069
7.6,4.5461312156151
7.7,4.57163667077661
7.8,4.59638961123718
7.9,4.62040508134044
8,4.64369825090987
8.1,4.66628438638176
8.2,4.68817882286827
8.3,4.70939693721988
8.4,4.7299541221468
8.5,4.74986576144935
8.6,4.76914720639787
8.7,4.78781375329397
8.8,4.80588062223638
8.9,4.82336293710627
9,4.84027570677986
9.1,4.85663380756836
9.2,4.8724519668795
9.3,4.88774474808809
9.4,4.90252653659851
9.5,4.91681152707622
9.6,4.93061371182191
9.7,4.94394687025741
9.8,4.95682455948962
9.9,4.96926010591584
10,4.98126659783144
10.1,4.9928568789991
10.2,5.00404354313736
10.3,5.01483892928511
10.4,5.02525511799805
