"itx","ity"
0,-0.01001196
0.105,0.0894306
0.21,0.1862385
0.315,0.2804445
0.42,0.3720885
0.525,0.4612125
0.63,0.547827
0.735,0.631995
0.84,0.713727
0.945,0.7930755
1.05,0.870072
1.155,0.9447585
1.26,1.0171455
1.365,1.087275
1.47,1.15521
1.575,1.22094
1.68,1.28457
1.785,1.3461
1.89,1.40553
1.995,1.462965
2.1,1.5183
2.205,1.571745
2.31,1.623195
2.415,1.67286
2.52,1.72053
2.625,1.766415
2.73,1.81062
2.835,1.852935
2.94,1.89357
3.045,1.932525
3.15,1.9698
3.255,2.0055
3.36,2.039625
3.465,2.072175
3.57,2.10315
3.675,2.13276
3.78,2.1609
3.885,2.18757
3.99,2.212875
4.095,2.23692
4.2,2.2596
4.305,2.281125
4.41,2.301285
4.515,2.32029
4.62,2.33814
4.725,2.35494
4.83,2.370585
4.935,2.38518
5.04,2.398725
5.145,2.411325
5.25,2.42298
5.355,2.43369
5.46,2.443455
5.565,2.452485
5.67,2.460675
5.775,2.46813
5.88,2.474745
5.985,2.48073
6.09,2.486085
6.195,2.490705
6.3,2.4948
6.405,2.498265
6.51,2.50131
6.615,2.503725
6.72,2.505825
6.825,2.5074
6.93,2.50866
7.035,2.5095
7.14,2.510025
7.245,2.51034
7.35,2.51034
7.455,2.51034
7.56,2.51034
7.665,2.51034
7.77,2.51034
7.875,2.51034
7.98,2.51034
8.085,2.51034
8.19,2.51034
8.295,2.51034
8.4,2.51034
8.505,2.51034
8.61,2.51034
8.715,2.51034
8.82,2.51034
8.925,2.51034
9.03,2.51034
9.135,2.51034
9.24,2.51034
9.345,2.51034
9.45,2.51034
9.555,2.51034
