"V1","V2","angle"
504.95,-17.064,"37"
409.14,-30.649,"37"
423.63,-19.018,"37"
175.56,9.722,"37"
132.76,10.033,"37"
563.68,-31.985,"37"
123.51,11.949,"37"
410.66,13.042,"37"
475.49,-54.415,"37"
245.61,-3.5739,"37"
356.27,-35.558,"37"
210.49,34.417,"37"
453.11,-12.871,"37"
250.88,-35.031,"37"
439.47,19.787,"37"
221.11,27.924,"37"
368.56,-14.462,"37"
517.06,10.772,"37"
347.61,-25.206,"37"
289.23,-28.87,"37"
250.44,-6.4194,"37"
170.23,43.747,"37"
278.72,-24.643,"37"
337.5,5.0052,"37"
534.23,-38.997,"37"
223.89,26.347,"37"
405.05,-26.064,"37"
276.95,21.003,"37"
408.26,-6.7713,"37"
297.55,36.781,"37"
191.25,20.725,"37"
460.05,-18.242,"37"
214.84,18.809,"37"
277.99,-24.488,"37"
184.18,-2.6172,"37"
266.12,3.2611,"37"
411.26,-34.995,"37"
270.01,-10.838,"37"
407.72,-12.929,"37"
191.09,12.211,"37"
349.02,15.707,"37"
189.83,28.307,"37"
437.77,-29.263,"37"
494.92,-8.8465,"37"
447.96,-27.137,"37"
252.65,8.3269,"37"
379.82,-32.691,"37"
326.42,-43.116,"37"
402.94,10.741,"37"
529.88,-42.647,"37"
257.43,-36.631,"37"
377.49,41.44,"37"
202.95,-32.585,"37"
275.88,36.174,"37"
283.85,32.197,"37"
283.63,-26.743,"37"
326.3,10.947,"37"
238.66,12.514,"37"
273.85,-33.555,"37"
207.24,6.0055,"37"
258.3,-21.174,"37"
285.66,-53.857,"37"
293.88,-3.8942,"37"
483.45,-41.063,"37"
372.43,-20.482,"37"
481.12,17.662,"37"
149.44,-10.124,"37"
218,-19.557,"37"
507.97,10.111,"37"
234.57,-70.707,"37"
253.38,-25.503,"37"
470.83,47.595,"37"
152.73,19.61,"37"
524.88,38.194,"37"
278.3,5.0167,"37"
267.64,-25.169,"37"
229.77,-7.2866,"37"
266.42,-63.759,"37"
398.47,16.348,"37"
242.85,3.7611,"37"
111.17,-14.233,"37"
294.25,-88.906,"37"
231.58,-11.063,"37"
234.23,6.1736,"37"
279.88,-16.101,"37"
457.86,8.472,"37"
137.13,13.114,"37"
148.47,-37.603,"37"
287.55,16.183,"37"
236.44,-19.813,"37"
259.14,4.8062,"37"
183.26,-7.2505,"37"
367.69,-84.335,"37"
281.08,-23.581,"37"
385.95,68.934,"37"
409.23,-10.824,"37"
307.06,1.5226,"37"
293.76,11.539,"37"
170.01,34.17,"37"
291.64,22.353,"37"
347.88,46.681,"37"
292.44,-23.834,"37"
341.32,-32.5,"37"
241.83,3.0234,"37"
176.64,-34.487,"37"
269.29,5.8747,"37"
294.78,0.56681,"37"
327.56,5.128,"37"
211.11,-4.0459,"37"
441.31,-49.968,"37"
241.89,20.854,"37"
466.99,55.38,"37"
302.58,-19.143,"37"
144.04,-9.5771,"37"
548.81,-69.682,"37"
192.87,-17.138,"37"
301.32,-18.816,"37"
306.47,-74.79,"37"
438.92,-10.188,"37"
345.51,34.136,"37"
249.34,-12.726,"37"
232.21,1.228,"37"
200.7,11.097,"37"
225.3,15.527,"37"
215.45,-4.2665,"37"
84.446,-25.069,"37"
509.65,-14.275,"37"
306.39,23.811,"37"
356.51,18.585,"37"
211.53,-11.176,"37"
242.87,-20.913,"37"
178.72,17.947,"37"
309.32,14.077,"37"
427.37,77.043,"37"
199.62,14.272,"37"
300.73,-10.229,"37"
456.65,-6.4515,"37"
255.43,1.984,"37"
429.5,-10.656,"37"
247.69,-21.276,"37"
429.79,-75.815,"37"
339.16,-0.44246,"37"
427.68,-25.06,"37"
273.08,-24.54,"37"
333.99,-21.462,"37"
163.93,-15.476,"37"
300,2.881,"37"
366.57,-40.138,"37"
482.07,-42.166,"37"
326.98,-34.57,"37"
353.39,-2.58,"37"
143.89,15.606,"37"
165.87,-25.235,"37"
381.41,-15.146,"37"
425.4,3.1786,"37"
192.66,17.952,"37"
429.2,-25.75,"37"
212.3,-2.2684,"37"
270.45,-32.896,"37"
215.91,36.02,"37"
254.58,-65.123,"37"
337.25,33.687,"37"
307.42,-67.137,"37"
203.66,13.868,"37"
253.74,-11.005,"37"
367.58,22.644,"37"
286.36,19.86,"37"
257.86,-1.1371,"37"
234.67,18.186,"37"
276.82,-11.863,"37"
300.19,-33.864,"37"
378.73,4.457,"37"
380.77,-26.612,"37"
251.28,3.8784,"37"
638.92,-119.61,"37"
270.4,-11.644,"37"
292.07,9.3234,"37"
350.97,-10.58,"37"
378.69,-17.22,"37"
218.38,-3.0215,"37"
412.07,16.141,"37"
205.03,-18.715,"37"
285.75,-41.353,"37"
226.28,30.112,"37"
371.44,6.6013,"37"
360.91,13.35,"37"
396.67,-41.772,"37"
290.34,-22.866,"37"
552.41,24.621,"37"
201.91,3.2496,"37"
235.32,-37.137,"37"
346.75,-11.525,"37"
308.85,17.571,"37"
250.08,7.0156,"37"
298,-30.606,"37"
221.09,0.79211,"37"
310.47,47.503,"37"
404.93,-0.52751,"37"
312.59,6.514,"37"
304.48,-49.68,"37"
268.75,1.6445,"37"
731.04,121.94,"37"
372.75,13.484,"37"
173.34,4.0573,"37"
210.86,-29.527,"37"
377.68,-30.958,"37"
356.72,-14.123,"37"
305.24,-8.5857,"37"
468.69,-0.22417,"37"
388.56,35.527,"37"
237.56,40.649,"37"
192.03,34.839,"37"
322.41,-63.912,"37"
191.57,7.7622,"37"
320.17,-0.4296,"37"
155.39,3.0838,"37"
428.24,-24.101,"37"
365.05,-27.681,"37"
433.33,1.6402,"37"
305.02,8.0452,"37"
635.03,44.573,"37"
346.48,-2.9158,"37"
457.09,6.9544,"37"
183.84,-6.7943,"37"
214.71,15.926,"37"
384.76,3.868,"37"
339.72,32.985,"37"
373.25,-15.269,"37"
279.77,26.212,"37"
324.76,11.464,"37"
350.99,-8.1657,"37"
285.69,13.399,"37"
356.27,-35.558,"37"
447.54,-29.86,"37"
240.11,-23.697,"37"
206.07,7.3074,"37"
315.76,-37.908,"37"
581.49,-38.487,"37"
274.98,-43.42,"37"
243.34,9.2804,"37"
598.56,-40.768,"37"
271.62,17.005,"37"
339.76,29.254,"37"
385.75,4.344,"37"
144.02,-12.002,"37"
157.14,-2.0806,"37"
306.48,-5.4632,"37"
386.96,26.884,"37"
324.73,-46.287,"37"
248.05,-27.388,"37"
398.15,-18.817,"37"
344.18,10.593,"37"
319.86,13.367,"37"
319.68,-7.578,"37"
343.82,-16.959,"37"
152.26,-2.8188,"37"
178.83,-44.37,"37"
153.27,12.681,"37"
219.2,-9.7296,"37"
428.06,-24.97,"37"
277.74,-5.5398,"37"
339.94,-16.789,"37"
473.59,-12.496,"37"
282.49,5.3404,"37"
483.32,-46.249,"37"
428.87,-3.9876,"37"
329.59,0.83342,"37"
298.6,-11.225,"37"
506.1,-31.741,"37"
275.14,-44.934,"37"
194.3,-7.0323,"37"
458.82,-7.91,"37"
411.29,17.768,"37"
220.08,-42.991,"37"
289.78,44.171,"37"
327.24,12.941,"37"
274.16,-26.954,"37"
408.26,0.61718,"37"
407.78,-26.576,"37"
